id,square,occurrence,data
635,33VUG3,post70_1,1
636,33VUG4,post70_1,1
637,33VUJ4,post70_1,1
638,33VVC1,post70_1,1
639,33VVC2,post70_1,1
640,33VVC3,post70_1,1
641,33VVC4,post70_1,1
642,33VVD1,post70_1,1
643,33VVD2,post70_1,1
644,33VVD3,post70_1,1
645,33VVD4,post70_1,1
646,33VVE1,post70_1,1
647,33VVE2,post70_1,1
648,33VVE3,post70_1,1
649,33VVE4,post70_1,1
650,33VVF1,post70_1,1
651,33VVF2,post70_1,1
652,33VVF3,post70_1,1
653,33VVF4,post70_1,1
654,33VVG1,post70_1,1
655,33VVG2,post70_1,1
656,33VVG3,post70_1,1
657,33VVG4,post70_1,1
658,33VWC1,post70_1,1
659,33VWC2,post70_1,1
660,33VWC3,post70_1,1
661,33VWC4,post70_1,1
662,33VWD1,post70_1,1
663,33VWD2,post70_1,1
664,33VWD3,post70_1,1
665,33VWD4,post70_1,1
666,33VWE1,post70_1,1
667,33VWE2,post70_1,1
668,33VWE3,post70_1,1
669,33VWE4,post70_1,1
670,33VWF1,post70_1,1
671,33VWF2,post70_1,1
672,33VWF3,post70_1,1
673,33VWF4,post70_1,1
674,33VWG1,post70_1,1
675,33VWG2,post70_1,1
676,33VWG3,post70_1,1
677,33VWG4,post70_1,1
678,33VXC1,post70_1,1
679,33VXC2,post70_1,1
680,33VXD1,post70_1,1
681,33VXD2,post70_1,1
682,33VXD3,post70_1,1
683,33VXD4,post70_1,1
684,33VXE1,post70_1,1
685,33VXE2,post70_1,1
686,33VXE4,post70_1,1
687,33VXF1,post70_1,1
688,33VXF2,post70_1,1
689,33VXF3,post70_1,1
690,33VXF4,post70_1,1
691,33VXG1,post70_1,1
692,33VXG2,post70_1,1
693,33VXH1,post70_1,1
694,33VXH2,post70_1,1
695,33VXJ1,post70_1,1
696,33VXJ2,post70_1,1
697,33VXK2,post70_1,1
698,34SCJ3,pre70_1,2
699,34SDJ1,pre70_1,2
700,34SDJ3,post70_1,1
701,34SDJ4,post70_1,1
702,34SDK2,pre70_1,2
703,34SDK4,post70_1,1
704,34SEG1,post70_1,1
705,34SEG3,pre70_1,2
706,34SEG4,pre70_1,2
707,34SEH3,pre70_1,2
708,34SEH4,post70_1,1
709,34SEJ1,pre70_1,2
710,34SEJ3,pre70_1,2
711,34SEK2,pre70_1,2
712,34SFF1,post70_1,1
713,34SFF4,pre70_1,2
714,34SFG1,post70_1,1
715,34SFG2,pre70_1,2
716,34SFG3,post70_1,1
717,34SFH1,post70_1,1
718,34SFH2,post70_1,1
719,34SFJ1,pre70_1,2
720,34SFJ3,pre70_1,2
721,34SFJ4,post70_1,1
722,34SFK2,post70_1,1
723,34SGH1,pre70_1,2
724,34SGH2,pre70_1,2
725,34SGK2,pre70_1,2
726,34TBN4,post70_1,1
727,34TBP3,pre70_1,2
728,34TBP4,post70_1,1
729,34TBR3,post70_1,1
730,34TBR4,post70_1,1
731,34TCK3,pre70_1,2
732,34TCM1,post70_1,1
733,34TCM3,pre70_1,2
734,34TCN1,post70_1,1
735,34TCN2,post70_1,1
736,34TCN3,pre70_1,2
737,34TCN4,post70_1,1
738,34TCP1,pre70_1,2
739,34TCP2,post70_1,1
740,34TCP3,post70_1,1
741,34TCP4,pre70_1,2
742,34TCQ1,post70_1,1
743,34TCQ2,pre70_1,2
744,34TCQ3,post70_1,1
745,34TCQ4,post70_1,1
746,34TCR1,post70_1,1
747,34TCR2,post70_1,1
748,34TCR3,post70_1,1
749,34TCR4,post70_1,1
750,34TCT1,post70_1,1
751,34TCT3,post70_1,1
752,34TDL1,post70_1,1
753,34TDL2,post70_1,1
754,34TDL3,post70_1,1
755,34TDL4,post70_1,1
756,34TDM1,post70_1,1
757,34TDM3,post70_1,1
758,34TDM4,post70_1,1
759,34TDN1,post70_1,1
760,34TDN2,post70_1,1
761,34TDN3,post70_1,1
762,34TDN4,pre70_1,2
763,34TDP1,post70_1,1
764,34TDP2,post70_1,1
765,34TDP3,post70_1,1
766,34TDP4,post70_1,1
767,34TDQ1,post70_1,1
768,34TDQ2,post70_1,1
769,34TDQ3,post70_1,1
770,34TDQ4,post70_1,1
771,34TDR2,post70_1,1
772,34TDT1,post70_1,1
773,34TDT3,post70_1,1
774,34TEK1,post70_1,1
775,34TEK3,post70_1,1
776,34TEL1,pre70_1,2
777,34TEL2,post70_1,1
778,34TEL3,post70_1,1
779,34TEL4,post70_1,1
780,34TEM1,post70_1,1
781,34TEM2,post70_1,1
782,34TEM3,pre70_1,2
783,34TEM4,post70_1,1
784,34TEN2,post70_1,1
785,34TEN3,post70_1,1
786,34TEN4,post70_1,1
787,34TEP2,post70_1,1
788,34TEP3,post70_1,1
789,34TEP4,post70_1,1
790,34TEQ1,post70_1,1
791,34TEQ4,pre70_1,2
792,34TET3,post70_1,1
793,34TFK1,post70_1,1
794,34TFK3,post70_1,1
795,34TFL1,post70_1,1
796,34TFL2,post70_1,1
797,34TFL3,post70_1,1
798,34TFL4,post70_1,1
799,34TFM1,post70_1,1
800,34TFM2,post70_1,1
801,34TFM3,post70_1,1
802,34TFM4,post70_1,1
803,34TFN1,post70_1,1
804,34TFN2,post70_1,1
805,34TFN3,pre70_1,2
806,34TFN4,post70_1,1
807,34TFP1,post70_1,1
808,34TFP2,post70_1,1
809,34TFP4,pre70_1,2
810,34TFQ1,post70_1,1
811,34TFQ2,post70_1,1
812,34TFR1,pre70_1,2
813,34TFR3,pre70_1,2
814,34TFS3,post70_1,1
815,34TFT4,pre70_1,2
816,34TGK1,pre70_1,2
817,34TGL1,post70_1,1
818,34TGL2,post70_1,1
819,34TGM1,post70_1,1
820,34TGM2,post70_1,1
821,34TGN1,pre70_1,2
822,34TGN2,post70_1,1
823,34TGS1,post70_1,1
824,34TGT2,post70_1,1
825,34UCA1,post70_1,1
826,34UCA2,post70_1,1
827,34UCA3,post70_1,1
828,34UCA4,post70_1,1
829,34UCB1,pre70_1,2
830,34UCB2,pre70_1,2
831,34UCB3,pre70_1,2
832,34UCB4,pre70_1,2
833,34UCC1,pre70_1,2
834,34UCC2,pre70_1,2
835,34UCC3,pre70_1,2
836,34UCC4,pre70_1,2
837,34UCD1,post70_1,1
838,34UCD2,pre70_1,2
839,34UCD3,post70_1,1
840,34UCD4,pre70_1,2
841,34UCE1,post70_1,1
842,34UCE2,pre70_1,2
843,34UCE3,post70_1,1
844,34UCE4,pre70_1,2
845,34UCF1,pre70_1,2
846,34UCF2,post70_1,1
847,34UCF4,post70_1,1
848,34UCU1,post70_1,1
849,34UCU2,post70_1,1
850,34UCU3,post70_1,1
851,34UCU4,post70_1,1
852,34UCV1,post70_1,1
853,34UCV2,post70_1,1
854,34UCV3,post70_1,1
855,34UCV4,post70_1,1
856,34UDA1,post70_1,1
857,34UDA2,post70_1,1
858,34UDA3,post70_1,1
859,34UDA4,post70_1,1
860,34UDB1,post70_1,1
861,34UDB2,post70_1,1
862,34UDB3,pre70_1,2
863,34UDB4,post70_1,1
864,34UDC1,pre70_1,2
865,34UDC2,pre70_1,2
866,34UDC3,post70_1,1
867,34UDC4,post70_1,1
868,34UDD2,pre70_1,2
869,34UDD3,pre70_1,2
870,34UDD4,pre70_1,2
871,34UDE1,post70_1,1
872,34UDE2,pre70_1,2
873,34UDE3,pre70_1,2
874,34UDF1,post70_1,1
875,34UDF2,post70_1,1
876,34UDF3,post70_1,1
877,34UDF4,post70_1,1
878,34UDG4,post70_1,1
879,34UDU1,post70_1,1
880,34UDU2,post70_1,1
881,34UDU3,post70_1,1
882,34UDU4,post70_1,1
883,34UDV1,post70_1,1
884,34UDV2,post70_1,1
885,34UDV3,post70_1,1
886,34UDV4,post70_1,1
887,34UEA1,post70_1,1
888,34UEA2,post70_1,1
889,34UEA3,post70_1,1
890,34UEA4,post70_1,1
891,34UEB1,pre70_1,2
892,34UEB2,post70_1,1
893,34UEB3,post70_1,1
894,34UEB4,post70_1,1
895,34UEC2,post70_1,1
896,34UEC3,post70_1,1
897,34UEC4,pre70_1,2
